City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
60,Bay Roberts,CA,2021-12-22 15:1147,47.5999,-53.2648,31.33,74,2,7.0,clear sky
61,Chuy,UY,2021-12-22 15:1147,-33.6971,-53.4616,77.32,49,5,13.27,clear sky
62,Ponta Do Sol,PT,2021-12-22 15:1147,32.6667,-17.1,75.0,84,24,9.71,few clouds
63,Salalah,OM,2021-12-22 15:1147,17.0151,54.0924,77.09,69,0,3.44,clear sky
64,Roald,NO,2021-12-22 15:1148,62.5833,6.1333,36.91,93,75,3.44,broken clouds
65,Provideniya,RU,2021-12-22 15:1148,64.3833,-173.3,5.05,84,100,21.72,light snow
66,Lang Suan,TH,2021-12-22 15:1148,9.9456,99.0785,74.03,77,78,1.59,broken clouds
67,Cape Town,ZA,2021-12-22 15:0502,-33.9258,18.4232,78.35,71,41,5.01,scattered clouds
68,Olavarria,AR,2021-12-22 15:1149,-36.8927,-60.3225,78.03,69,0,8.72,clear sky
69,Carnarvon,AU,2021-12-22 15:0538,-24.8667,113.6333,71.67,83,90,18.41,overcast clouds
70,Nelson Bay,AU,2021-12-22 15:1149,-32.7167,152.15,75.0,88,100,1.01,overcast clouds
71,Dalby,AU,2021-12-22 15:1149,-27.1833,151.2667,73.09,60,100,8.97,moderate rain
72,Abu Samrah,SY,2021-12-22 15:1150,35.3029,37.1841,49.69,67,79,7.45,broken clouds
73,Burgeo,CA,2021-12-22 15:1150,47.6167,-57.6152,24.82,70,34,3.42,scattered clouds
74,Qaanaaq,GL,2021-12-22 15:1150,77.484,-69.3632,26.19,54,9,10.02,clear sky
75,Mar Del Plata,AR,2021-12-22 15:0535,-38.0023,-57.5575,71.87,82,0,11.01,clear sky
76,Lompoc,US,2021-12-22 15:1151,34.6391,-120.4579,57.78,71,90,5.75,overcast clouds
77,Khatanga,RU,2021-12-22 15:1151,71.9667,102.5,-35.86,99,23,2.26,few clouds
78,Coquimbo,CL,2021-12-22 15:1151,-29.9533,-71.3436,65.93,72,40,12.66,scattered clouds
79,Hermanus,ZA,2021-12-22 15:0539,-34.4187,19.2345,76.89,70,59,19.26,broken clouds
80,Ahipara,NZ,2021-12-22 15:1151,-35.1667,173.1667,63.45,84,100,9.84,overcast clouds
81,Lufilufi,WS,2021-12-22 15:1152,-13.8745,-171.5986,81.63,76,91,15.86,overcast clouds
82,Labuhan,ID,2021-12-22 15:1152,-6.8844,112.2051,81.05,79,32,7.43,scattered clouds
83,Punta Arenas,CL,2021-12-22 15:0542,-53.15,-70.9167,60.91,48,40,19.57,scattered clouds
84,Kurilsk,RU,2021-12-22 15:1152,45.2333,147.8833,32.04,66,76,10.71,broken clouds
85,Puerto Ayora,EC,2021-12-22 15:1153,-0.7393,-90.3518,73.36,83,85,7.29,overcast clouds
86,Mishelevka,RU,2021-12-22 15:1153,52.8575,103.1719,-25.55,97,14,1.41,few clouds
87,San Rafael,AR,2021-12-22 15:1153,-34.6177,-68.3301,80.92,29,38,9.46,scattered clouds
88,Krasnoselkup,RU,2021-12-22 15:1153,65.7,82.4667,6.19,90,100,23.64,overcast clouds
89,Kuliyapitiya,LK,2021-12-22 15:1154,7.4688,80.0401,74.3,82,42,4.36,scattered clouds
90,Novikovo,RU,2021-12-22 15:1154,51.1537,37.8879,9.84,87,100,10.33,overcast clouds
91,Kargil,IN,2021-12-22 15:1154,34.5667,76.1,14.86,60,100,3.27,overcast clouds
92,Guerrero Negro,MX,2021-12-22 15:1155,27.9769,-114.0611,60.67,82,100,8.86,overcast clouds
93,Galbshtadt,RU,2021-12-22 15:1255,53.2264,78.9845,21.16,90,38,18.68,scattered clouds
94,Dikson,RU,2021-12-22 15:1255,73.5069,80.5464,-4.79,83,100,17.27,overcast clouds
95,Jamestown,US,2021-12-22 15:1255,42.097,-79.2353,31.32,84,90,13.0,light snow
96,Iqaluit,CA,2021-12-22 15:1256,63.7506,-68.5145,2.95,84,98,8.95,overcast clouds
97,Mamlyutka,KZ,2021-12-22 15:1256,54.9375,68.5394,28.18,97,100,10.42,snow
98,Georgetown,MY,2021-12-22 15:0140,5.4112,100.3354,80.53,81,20,0.0,few clouds
99,Palmer,US,2021-12-22 15:1256,42.1584,-72.3287,38.62,87,90,4.61,moderate rain
100,Havre-Saint-Pierre,CA,2021-12-22 15:1257,50.2334,-63.5986,14.79,68,80,13.94,broken clouds
101,Kungurtug,RU,2021-12-22 15:1257,50.5994,97.5228,-0.94,99,100,1.74,overcast clouds
102,Shimoda,JP,2021-12-22 15:1257,34.6667,138.95,43.11,64,81,11.34,broken clouds
103,Olafsvik,IS,2021-12-22 15:1257,64.8945,-23.7142,34.23,74,48,13.94,scattered clouds
104,Huarmey,PE,2021-12-22 15:1258,-10.0681,-78.1522,72.09,76,10,7.96,clear sky
105,Cabo San Lucas,MX,2021-12-22 15:1044,22.8909,-109.9124,69.51,80,1,4.61,clear sky
106,Qaqortoq,GL,2021-12-22 15:0540,60.7167,-46.0333,46.9,56,100,10.11,overcast clouds
107,Ossora,RU,2021-12-22 15:1258,59.2353,163.0719,5.04,84,100,15.73,overcast clouds
108,Aquiraz,BR,2021-12-22 15:1259,-3.9014,-38.3911,89.69,61,24,14.56,few clouds
109,Stromness,GB,2021-12-22 15:1259,58.965,-3.296,40.96,76,99,13.91,overcast clouds
110,Ostrovnoy,RU,2021-12-22 15:1259,68.0531,39.5131,23.36,85,100,6.42,overcast clouds
111,Rincon,US,2021-12-22 15:1217,32.296,-81.2354,46.85,89,90,1.01,overcast clouds
112,Butaritari,KI,2021-12-22 15:0537,3.0707,172.7902,80.94,71,100,5.3,overcast clouds
113,Mogadishu,SO,2021-12-22 15:1032,2.0371,45.3438,80.02,77,95,20.58,overcast clouds
114,Sorong,ID,2021-12-22 15:1259,-0.8833,131.25,81.0,79,100,11.56,overcast clouds
115,Souillac,MU,2021-12-22 15:1300,-20.5167,57.5167,78.37,94,75,6.91,broken clouds
116,Tessalit,ML,2021-12-22 15:1300,20.1986,1.0114,78.84,8,98,13.35,overcast clouds
117,Tiksi,RU,2021-12-22 15:1300,71.6872,128.8694,-16.1,98,99,5.97,overcast clouds
118,Pevek,RU,2021-12-22 15:0546,69.7008,170.3133,-17.73,99,100,4.94,overcast clouds
119,Umea,SE,2021-12-22 15:1301,63.8284,20.2597,6.73,92,90,2.3,overcast clouds
120,Port Alfred,ZA,2021-12-22 15:1301,-33.5906,26.891,74.55,78,90,13.8,light rain
121,Ferme-Neuve,CA,2021-12-22 15:1301,46.7001,-75.4493,29.14,88,100,7.94,light snow
122,Xining,CN,2021-12-22 15:1302,36.6167,101.7667,27.88,29,100,1.32,overcast clouds
123,Bengkulu,ID,2021-12-22 15:1302,-3.8004,102.2655,76.46,89,19,4.07,few clouds
124,Los Llanos De Aridane,ES,2021-12-22 15:1302,28.6585,-17.9182,67.75,90,75,10.36,broken clouds
125,Olinda,BR,2021-12-22 15:1302,-8.0089,-34.8553,85.73,66,75,11.5,broken clouds
126,Klaksvik,FO,2021-12-22 15:1303,62.2266,-6.589,32.92,65,95,8.63,overcast clouds
127,Bethel,US,2021-12-22 15:1303,41.3712,-73.414,42.24,88,75,1.99,broken clouds
128,Manta,EC,2021-12-22 15:1303,-0.95,-80.7333,76.78,73,90,2.3,overcast clouds
129,Kalmunai,LK,2021-12-22 15:1303,7.4167,81.8167,78.53,76,41,7.9,scattered clouds
130,Abbotsford,CA,2021-12-22 15:1304,49.058,-122.2526,46.69,93,100,10.0,overcast clouds
131,Luderitz,NA,2021-12-22 15:1304,-26.6481,15.1594,70.05,62,0,11.65,clear sky
132,Domoni,KM,2021-12-22 15:1304,-12.2569,44.5319,83.12,75,95,1.77,overcast clouds
133,Diego De Almagro,CL,2021-12-22 15:1305,-26.3667,-70.05,76.69,27,96,9.84,overcast clouds
134,Praxedis Guerrero,MX,2021-12-22 15:1305,31.3667,-106.0167,44.19,24,83,0.6,broken clouds
135,Tuktoyaktuk,CA,2021-12-22 15:1305,69.4541,-133.0374,-2.94,97,100,15.41,light snow
136,Belaya Gora,RU,2021-12-22 15:1306,68.5333,146.4167,-25.71,96,96,4.45,overcast clouds
137,Asosa,ET,2021-12-22 15:1306,10.0667,34.5333,78.26,39,90,2.91,overcast clouds
138,Lebu,CL,2021-12-22 15:0121,-37.6167,-73.65,64.17,67,0,15.12,clear sky
139,Conceicao Do Araguaia,BR,2021-12-22 15:1406,-8.2578,-49.2647,84.74,71,100,5.35,overcast clouds
140,Victoria,HK,2021-12-22 15:0930,22.2855,114.1577,68.38,83,11,1.01,few clouds
141,Marabba,SD,2021-12-22 15:1407,12.35,32.1833,86.99,24,43,13.18,scattered clouds
142,Saskylakh,RU,2021-12-22 15:1407,71.9167,114.0833,-28.14,100,42,4.41,scattered clouds
143,Komsomolskiy,UZ,2021-12-22 15:1407,40.4272,71.7189,47.62,65,97,9.22,haze
144,La Palma,US,2021-12-22 15:1407,33.8464,-118.0467,62.35,84,1,0.0,mist
145,Campbell River,CA,2021-12-22 15:1408,50.0163,-125.2446,44.26,97,100,4.0,overcast clouds
146,Lindenwold,US,2021-12-22 15:1408,39.8243,-74.9977,42.75,80,1,3.0,clear sky
147,Yellowknife,CA,2021-12-22 15:0544,62.456,-114.3525,-25.71,91,70,3.96,broken clouds
148,Plettenberg Bay,ZA,2021-12-22 15:1408,-34.0527,23.3716,69.58,84,73,11.16,light rain
149,Vao,NC,2021-12-22 15:1409,-22.6667,167.4833,75.09,75,44,12.57,scattered clouds
150,Nabire,ID,2021-12-22 15:1409,-3.3667,135.4833,75.42,92,100,2.95,overcast clouds
151,Angoche,MZ,2021-12-22 15:1409,-16.2325,39.9086,82.54,67,69,8.63,broken clouds
152,Hami,CN,2021-12-22 15:1409,42.8,93.45,28.17,48,0,2.82,clear sky
153,Flinders,AU,2021-12-22 15:1410,-34.5833,150.8552,70.21,91,100,5.64,overcast clouds
154,Tasiilaq,GL,2021-12-22 15:1410,65.6145,-37.6368,32.16,53,4,6.02,clear sky
155,Mukdahan,TH,2021-12-22 15:1410,16.5833,104.5,68.09,75,47,4.65,scattered clouds
156,San Patricio,US,2021-12-22 15:1410,28.017,-97.5169,64.89,70,10,6.58,clear sky
157,Bambous Virieux,MU,2021-12-22 15:1411,-20.3428,57.7575,78.22,94,75,6.91,light rain
158,Poli,TZ,2021-12-22 15:1411,-3.3333,36.8,65.57,85,100,4.45,light rain
159,Nsunga,TZ,2021-12-22 15:1411,-1.1439,31.3947,76.6,70,77,3.11,light rain
160,Touros,BR,2021-12-22 15:1412,-5.1989,-35.4608,88.7,60,29,13.71,scattered clouds
161,Solnechnyy,RU,2021-12-22 15:1412,50.7214,136.6319,-14.42,99,96,1.99,overcast clouds
162,Kyren,RU,2021-12-22 15:1412,51.6828,102.1408,-2.0,96,88,1.1,overcast clouds
163,Bezhetsk,RU,2021-12-22 15:1412,57.7851,36.6965,-0.18,96,96,7.83,overcast clouds
164,Terrace Bay,CA,2021-12-22 15:1413,48.7834,-87.1,0.46,88,26,5.88,scattered clouds
165,Srednekolymsk,RU,2021-12-22 15:1413,67.45,153.6833,-39.19,100,98,6.15,overcast clouds
166,Port Elizabeth,ZA,2021-12-22 15:1413,-33.918,25.5701,70.11,76,96,11.1,overcast clouds
167,Mataram,ID,2021-12-22 15:1413,-8.5833,116.1167,83.21,86,40,2.86,scattered clouds
168,Vrangel,RU,2021-12-22 15:1414,42.7297,133.0839,10.62,51,0,12.91,clear sky
169,Akyab,MM,2021-12-22 15:1414,20.15,92.9,67.98,61,0,4.72,clear sky
