City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
428,Hami,CN,25.07,clear sky,42.8,93.45,Laoyutang Resort
430,Fecamp,FR,34.68,overcast clouds,49.7579,0.3746,Hôtel d'Angleterre
432,Gnjilane,XK,25.59,clear sky,42.4604,21.4699,iTravel Agency • Western Union
444,Belyy Yar,RU,17.49,broken clouds,53.6039,91.3903,Pasportnyy Stol
447,Nikolskoye,RU,10.02,light snow,59.7035,30.7861,Tourist House - Sablino
449,Beringovskiy,RU,-0.2,overcast clouds,63.05,179.3167,Beringgorski
451,Clyde River,CA,5.23,light snow,70.4692,-68.5914,Qamaq Hotel
457,Turochak,RU,13.89,overcast clouds,52.2576,87.1224,"Usad'ba ""Lebed'"""
459,Yar-Sale,RU,-5.53,overcast clouds,66.8333,70.8333,Yalemd
462,High Level,CA,5.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
464,Kapustin Yar,RU,29.62,clear sky,48.5831,45.7372,"Gostinitsa ""Znamensk"""
469,Flin Flon,CA,-2.36,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
470,Tongliao,CN,-3.8,overcast clouds,43.6125,122.2653,Meirujia Hotel
471,Loukhi,RU,7.92,overcast clouds,66.0764,33.0381,Хостел Северяночка
472,Tricase,IT,39.31,few clouds,39.9304,18.3553,Hotel Adriatico
483,Ust-Tsilma,RU,-7.2,overcast clouds,65.441,52.1498,U Praskov'i
491,Muhos,FI,9.7,broken clouds,64.808,25.9931,Montta - active camping / campsite Montan
493,Lillooet,CA,12.92,overcast clouds,50.6856,-121.942,Hotel Victoria
505,Svobodnyy,RU,-22.7,few clouds,51.4,128.1333,Alekseevskij Hotel
508,Port Hawkesbury,CA,38.91,scattered clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
517,Nemuro,JP,33.13,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
519,Bereznik,RU,-2.27,overcast clouds,62.8551,42.7072,coastal Hotel
524,Port Hardy,CA,37.4,broken clouds,50.6996,-127.4199,Airport Inn
527,Marystown,CA,36.86,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
529,Kelvington,CA,4.66,broken clouds,52.1667,-103.5343,Sportsman Motel
531,Prestonpans,GB,36.36,overcast clouds,55.9594,-2.9804,Anchorage B&B
537,Kuressaare,EE,10.35,clear sky,58.2481,22.5039,Asa Spa Hotel
538,Goderich,CA,36.91,few clouds,43.7501,-81.7165,Harmony Inn
539,Paamiut,GL,36.54,moderate rain,61.994,-49.6678,Pistut
542,Pangnirtung,CA,14.0,light snow,66.1451,-65.7125,Kilabuk Lodge
550,Mujiayingzi,CN,17.87,broken clouds,42.1167,118.7833,Jinjiang Hotel
554,Severo-Yeniseyskiy,RU,-21.24,overcast clouds,60.3725,93.0408,Aktolik
557,Anchorage,US,22.64,mist,61.2181,-149.9003,Hotel Captain Cook
561,College,US,21.15,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
576,Vagur,FO,39.9,overcast clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
577,Krasnogorsk,RU,1.06,light snow,55.8225,37.3181,"Hotel ""Academy"""
578,Pangody,RU,-4.65,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
581,Ayr,GB,37.51,overcast clouds,55.4627,-4.6339,Mercure Ayr Hotel
584,Deputatskiy,RU,-24.77,overcast clouds,69.3,139.9,Baza Otdykha
586,Horadiz,AZ,39.97,broken clouds,39.4488,47.3353,Horadiz Olympic Center
593,Hay River,CA,-11.22,broken clouds,60.8156,-115.7999,Ptarmigan Inn
595,Hohhot,CN,10.69,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
601,Slave Lake,CA,17.58,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
611,Deda,RO,23.99,light snow,46.9333,24.9,Cabana LaCovrig
612,Xinmin,CN,10.65,overcast clouds,41.9908,122.8253,Agricultural Machinery Hotel
613,Assens,DK,35.49,overcast clouds,55.2702,9.9008,Overnatning Assens
615,Sorland,NO,31.86,few clouds,67.667,12.6934,Sjybrygga fiskecamp
625,Gospic,HR,37.09,broken clouds,44.5461,15.3747,Apartment Saric
627,Shuangyang,CN,-9.44,broken clouds,43.5242,125.6736,Boutique Chatelet
640,Manbij,SY,38.17,light rain,36.5281,37.9549,Manbej City Hotel
645,Oskemen,KZ,19.36,mist,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
649,Amurzet,RU,-17.0,clear sky,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
671,Minsk,BY,8.35,clear sky,53.9,27.5667,Minsk Hotel
673,Boissevain,CA,8.06,few clouds,49.2306,-100.0559,Boissevain Campgrounds
674,Ballangen,NO,21.4,clear sky,68.3428,16.8315,Ballangen Camping
675,Borujerd,IR,36.12,clear sky,33.8973,48.7516,Zagros Hotel
683,Dauphin,CA,10.54,broken clouds,51.1494,-100.0502,Canway Inn & Suites
